smiles,e_t
O=C1C[C@@H]2CCNC[C@@H]2CCOc2ncccc2N1,68.41787815105636
C[C@](O)(CNC(=O)c1cccc(C#N)c1)C1CC1,77.69571536488365
CCn1ncc(NC(=O)OC(C)(C)C)c1N,74.86479080689605
Cc1nn(C)cc1NC(=O)[C@@H]1CC=CC[C@@H]1C(=O)O,76.62819775112439
COc1cccc(CN2CCCN(C)CC2)c1OC,71.84529148496222
COc1cc(C)ccc1OCn1ccc(C(=O)O)n1,73.43369680771139
C=CCOC(=O)CCOCCC(=O)OCC=C,60.32879089133348
Cc1nnc(C(=O)N2CCC(c3cnc[nH]3)CC2)s1,64.75767906673718
C=CCOP(=O)([N@]1C[C@@H]1C)[N@@]1C[C@@H]1C,60.46027821069583
COC(=O)CC(CC(=O)OC)NC(=O)OC(C)(C)C,101.05330459587276
CC1=NN(c2cc(S(=O)(=O)O)ccc2Cl)C(=O)C1,68.72836582479067
NC1=C(c2ccccc2)C(=O)CN1Cc1ccco1,73.44510139990598
COCCCCC(=O)NC[C@H](O)c1ccccc1C,78.62155215709936
CCO[C@@H]1C[C@H](O)C12CCN(C(=O)C1CC1)CC2,88.159398162039
CN(C)CCNC(=O)c1nc(-c2cccs2)no1,55.9468051653821
CCSc1ncc(CNCc2csc(N)n2)cn1,75.52111810899805
O=C(O)CN1CCOC[C@H](Cc2ccccc2F)C1,84.21316190529615
S=C(NCCc1ccccc1)NC[C@@H]1CCCO1,78.43500016385224
CCOC(=O)/C(=C/C=C/N(C)C)C(=O)C(F)(F)F,47.629551360500045
CC(C)(C#N)/C(O)=N\c1nnc2n1CCCC2,54.14082068181597
CCCCCCCCCNC(=O)C(=O)NCC,81.77917167718988
CO[C@@H]1CCOC2(C1)CN(C(=O)Cc1ccsc1)C2,68.4820277056424
CC1(C#N)CN(C(=O)c2cncc(F)c2)C1,73.94240163092036
CC12C[N@@]3CC[N@@](C1)CC(c1ccccc1)(C3)C2=O,73.79950239311438
O=C([C@@H]1CC(=O)N(C2CC2)C1)N1CCCCCC1,83.80278089537751
Cn1ccnc1CNC(=O)c1ccc2[nH]cnc2c1,73.74784317612648
Cc1nn2c(c1I)OC[C@H](C)C2,60.00338103430113
CCCNC(=O)c1cc(S(=O)(=O)N(C)C)c(C)s1,60.81019590317737
CC1(C)[C@H]2C(=O)N(C[C@H]3CO3)C(=O)[C@]3(C)CC[C@@]213,91.64211497368524
Cc1ccc(C(C)(C)C(=O)N2CC(C(N)=O)C2)cc1,77.03623489430174
CC/N=C(\NCC)NCCOc1ccc(C#N)cc1,72.76587553019635
O=C(CC1CCCC1)N[C@@H]1CCCC[C@H](O)[C@@H]1O,93.16560379450677
CC(C)(C)OC(=O)N1CC2(C[C@H](C#N)CO2)C1,95.663087736757
CN(CC1(CO)CCC1)C(=O)[C@@H]1CCCCCN1C,86.67226415371988
CCCCS(=O)(=O)N1CC(Oc2ccccc2)C1,79.16814134269953
CN1C(=O)CCC[C@@H]2CN(Cc3ncc[nH]3)CC[C@@H]21,81.47879324411042
O=[N+]([O-])c1ccc(-n2cc3cnnc(O)c3n2)cc1,58.60463204304688
O=c1cc(CN2CCCCCCC2)nc2nc[nH]n12,70.82758060982451
Cc1cncn1CC(=O)N1CCC1(C)C,83.8171157768229
Cc1n[nH]c(C)c1CCc1nnc2n1CC(C)(C)C2,81.10644074040465
Cn1c(O)ncc(CCN2CCCCCCC2)c1=O,70.68419833481312
N#Cc1ccccc1S(=O)(=O)N[C@@H]1C[C@@H]2OCC[C@@H]21,70.01837827893905
CCCN1CCN(C(=O)c2scnc2C)CC1,66.97248284099624
C=C[C@](C)(O)C(=O)NC[C@H](CC(=O)O)CC(C)C,59.937230903073214
COCCN1CCCN(Cc2ccc(C)o2)CC1=O,71.94090386386961
[N-]=[N+]=CC(=O)[C@@H]1OC12C1CC3CC(C1)CC2C3,37.66297545481939
CCOC(=O)[C@H](Cc1ccccc1F)NC(C)=O,81.28171122923959
CS(=O)(=O)c1ccc(O[C@]23CCC[N@](CC2)C3)cc1,76.96661810390651
NNc1nc2sc3c(c2c(=O)[nH]1)CCCCC3,63.77471515559591
CCC1(CNC(=O)N[C@H](C)CS(C)(=O)=O)CCC1,102.252051266958
COCCN1Cc2cc(Cl)ccc2OCC1=O,74.97920948429964
O=C(NC[C@@H]1CO1)c1c(F)cccc1F,77.61389114585472
